ano,id_candidato_bd,despesas_campanha
2022,654669,299762.0000000003
2022,602789,16200
2022,1778666,30000
2022,741066,43693
2022,199590,3144586.5599999996
2022,507070,928904.4000000001
2022,1297378,1742489.740000001
2022,1566401,359669
2022,1634877,2415363.6399999997
2022,152921,616900.0000000002
2022,506732,1139901.2999999998
2022,1325963,929650.2
2022,214461,500000.0000000001
2022,1491346,2909236.919999999
2022,307548,217519.90000000002
2022,569926,149920.39
2022,393927,199797.46
2022,673641,150000
2022,1677577,366488.60000000003
2022,305495,138937.13
2022,486906,247919.93000000014
2022,307289,320000
2022,453556,55914.33
2022,1390065,25980
2022,499135,50000
2022,386501,49958
2022,646069,5000
2022,199858,41000
2022,1631589,39977.45
2022,427760,600
2022,360584,3620
2022,643282,600
2022,1619221,900
2022,309617,1834616.4300000002
2022,1196286,1999991.599999999
2022,548308,7700
2022,458551,199987.25
2022,420857,99812.2
2022,647421,399109.2
2022,605167,999900
2022,1791775,2494601
2022,1759865,97478.6
2022,387719,549448.8999999999
2022,189976,2266962.8
2022,575378,419998.69999999984
2022,780679,94002.6
2022,475100,149874.3
2022,1306703,514462.21
2022,324874,242716.25
2022,193247,514475.27999999997
2022,328402,189834.34999999998
2022,417848,240904.19999999998
2022,1541656,259159.19999999995
2022,1792033,189762.95
2022,1122305,174866
2022,1614040,199995.78
2022,1530747,219976.27999999997
2022,1579619,174999.99999999997
2022,662038,93650
2022,1582076,194214.92
2022,1496162,419954.5
2022,1444866,452306.69
2022,691928,565324
2022,53974,730050.35
2022,460126,3169382.5
2022,970460,413812.89999999997
2022,1574863,30038.199999999997
2022,589935,100000
2022,1414269,214596.24999999997
2022,458141,200000
2022,609840,298278.3
2022,563261,450680.75999999995
2022,607247,1823622
2022,707676,568812.4
2022,590557,330084.8
2022,462262,399900
2022,432973,400000
2022,1447678,465498.37999999995
2022,141161,462713.26
2022,305840,450000
2022,516636,149842.49
2022,1400479,1127496.6300000006
2022,423238,1100001.9
2022,639744,188751.1
2022,1252903,299405.3
2022,443607,1172998.4000000001
2022,722430,399980.6
2022,62664,264620.9
2022,1613450,1502000.0000000002
2022,431972,150000
