ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos
2022,RJ,622183,Ronald Miranda,DC,deputado federal,masculino,branca,nao eleito,89
2022,SE,633753,Prof Cristiano Bispo,DC,deputado federal,masculino,parda,nao eleito,213
2022,PR,637024,Everaldo Sóbrio,DC,deputado federal,masculino,parda,nao eleito,45
2022,PE,641873,Antonia Enfermeira,DC,deputado federal,feminino,parda,nao eleito,346
2022,BA,648719,Joanderson Pai Iasc,DC,deputado federal,masculino,preta,nao eleito,1644
2022,ES,650509,Cleide Valverde,DC,deputado federal,feminino,branca,nao eleito,117
2022,SE,658791,Kelly Quilombolas,DC,deputado federal,feminino,branca,nao eleito,76
2022,MT,660933,Nenê Alves,DC,deputado federal,masculino,parda,nao eleito,741
2022,MA,661999,Neilson Soares,DC,deputado federal,masculino,parda,nao eleito,22
2022,RS,682766,Poeta Elias Vidal Sobrinho,DC,deputado federal,masculino,parda,nao eleito,131
2022,GO,704760,Missionário Gonçalves,DC,deputado federal,masculino,branca,nao eleito,44
2022,RJ,708807,Murilo Moraes,DC,deputado federal,masculino,parda,nao eleito,759
2022,MS,716100,Roberto Patzlaff,DC,deputado federal,masculino,branca,nao eleito,271
2022,MT,721144,Fabão,DC,deputado federal,masculino,preta,nao eleito,401
2022,RS,722666,William Monteiro,DC,deputado federal,masculino,branca,nao eleito,367
2022,MT,730338,Ditinho,DC,deputado federal,masculino,branca,nao eleito,582
2022,PR,737113,Leovir De Oliveira,DC,deputado federal,masculino,branca,nao eleito,132
2022,RJ,743039,Claudinho Do Som,DC,deputado federal,masculino,parda,nao eleito,1395
2022,RJ,744944,Simone Silva,DC,deputado federal,feminino,preta,nao eleito,1
2022,RN,768793,Sargento Walfrido,DC,deputado federal,masculino,branca,nao eleito,333
2022,BA,769196,Pastor Rubinho,DC,deputado federal,masculino,parda,nao eleito,159
2022,RN,773990,Ricardo Jardim Lola ,DC,deputado federal,masculino,parda,nao eleito,207
